ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
R675,46-60岁,女,研究生及以上,农村,是,是,是,是,医疗影像识别,朋友推荐,愿意,AI系统,没听说过,准确,完全不信任,错诊漏诊,无所谓,不愿意,非常担心,不确定,第三方独立机构,不确定,取决于场景,不愿意支付,担心
R676,18-30岁,女,高中/中专,县级市,否,是,是,是,辅助诊断,互联网搜索,愿意,AI系统,听说过但没用过,准确,较不信任,错诊漏诊,是,视情况而定,不担心,不接受,政府,不确定,接受,0-20元,不担心
R677,60岁以上,女,本科,农村,否,否,是,是,医疗影像识别,不了解,不愿意,AI系统,使用过,未使用,非常信任,数据泄露,是,视情况而定,稍微担心,接受,政府,不确定,接受,20-50元,不了解
R678,18-30岁,女,本科,农村,否,是,是,是,辅助诊断,朋友推荐,愿意,AI系统,没听说过,准确,完全不信任,其他,是,视情况而定,不担心,不确定,医院,是,接受,50元以上,担心
R679,18岁以下,女,高中/中专,县级市,是,否,是,是,不清楚,不了解,愿意,难以判断,听说过但没用过,不满意,完全不信任,无法理解,否,愿意,稍微担心,不确定,第三方独立机构,是,接受,20-50元,不担心
R680,60岁以上,男,高中/中专,城市,否,否,是,是,不清楚,医生介绍,不愿意,AI系统,没听说过,准确,完全不信任,错诊漏诊,是,视情况而定,不担心,接受,第三方独立机构,是,接受,不愿意支付,担心
R681,31-45岁,男,高中/中专,农村,是,否,是,是,医疗影像识别,医生介绍,愿意,AI系统,使用过,方便,较信任,错诊漏诊,是,愿意,比较担心,不确定,政府,是,取决于场景,20-50元,不了解
R682,18-30岁,其他,初中,农村,否,是,是,是,不清楚,互联网搜索,愿意,都不信任,听说过但没用过,方便,完全不信任,错诊漏诊,无所谓,不愿意,稍微担心,接受,医院,是,不接受,不愿意支付,不了解
R683,60岁以上,其他,初中,县级市,是,否,是,是,医疗影像识别,医生介绍,愿意,难以判断,使用过,未使用,完全不信任,被医生替代,否,视情况而定,稍微担心,不确定,医院,是,接受,不愿意支付,担心
R684,46-60岁,女,小学及以下,农村,否,是,是,是,不清楚,新闻报道,愿意,AI系统,使用过,快捷,一般,数据泄露,是,愿意,不担心,不接受,第三方独立机构,不确定,接受,不愿意支付,不担心
R685,31-45岁,男,初中,县级市,是,否,是,是,不清楚,医生介绍,视情况而定,难以判断,使用过,准确,完全不信任,错诊漏诊,是,愿意,不担心,接受,政府,不确定,不接受,50元以上,不担心
R686,18-30岁,女,小学及以下,县级市,否,否,是,是,医疗影像识别,新闻报道,不愿意,都不信任,使用过,快捷,完全不信任,错诊漏诊,是,愿意,稍微担心,不接受,不需要监管,否,取决于场景,0-20元,担心
R687,60岁以上,女,高中/中专,城市,否,否,是,否,医疗影像识别,医生介绍,愿意,AI系统,听说过但没用过,不满意,完全不信任,数据泄露,无所谓,不愿意,不担心,接受,政府,是,接受,不愿意支付,担心
R688,31-45岁,男,高中/中专,县级市,是,否,是,是,药物推荐,不了解,愿意,都不信任,听说过但没用过,准确,较信任,数据泄露,否,视情况而定,不担心,接受,不需要监管,不确定,取决于场景,50元以上,担心
R689,18-30岁,其他,研究生及以上,农村,否,否,是,是,医疗影像识别,不了解,愿意,AI系统,使用过,快捷,完全不信任,被医生替代,是,愿意,不担心,不确定,政府,是,接受,不愿意支付,不了解
R690,18-30岁,其他,初中,县级市,是,是,是,是,不清楚,医生介绍,愿意,都不信任,没听说过,未使用,较不信任,错诊漏诊,否,视情况而定,非常担心,接受,政府,是,取决于场景,0-20元,不了解
R691,31-45岁,其他,小学及以下,城市,否,是,是,是,药物推荐,医生介绍,愿意,难以判断,没听说过,准确,完全不信任,其他,无所谓,愿意,不担心,接受,医院,否,取决于场景,不愿意支付,担心
R692,18岁以下,男,初中,农村,是,是,是,是,医疗影像识别,医生介绍,视情况而定,都不信任,听说过但没用过,准确,一般,无法理解,是,视情况而定,非常担心,接受,医院,是,取决于场景,不愿意支付,担心
R693,60岁以上,男,高中/中专,农村,否,是,是,是,医疗影像识别,互联网搜索,愿意,难以判断,没听说过,方便,非常信任,错诊漏诊,无所谓,愿意,稍微担心,接受,第三方独立机构,否,接受,不愿意支付,不担心
R694,31-45岁,男,本科,县级市,否,是,是,是,药物推荐,医生介绍,视情况而定,医生,听说过但没用过,未使用,较不信任,错诊漏诊,是,愿意,不担心,接受,政府,是,接受,50元以上,担心
R695,46-60岁,其他,初中,农村,是,是,是,是,医疗影像识别,朋友推荐,愿意,都不信任,听说过但没用过,不满意,完全不信任,被医生替代,无所谓,不愿意,非常担心,接受,政府,不确定,接受,不愿意支付,担心
R696,31-45岁,其他,初中,县级市,是,是,是,是,医疗影像识别,医生介绍,愿意,都不信任,听说过但没用过,准确,完全不信任,数据泄露,无所谓,愿意,稍微担心,不确定,政府,是,接受,50元以上,不了解
R697,18岁以下,其他,初中,县级市,否,否,是,是,医疗影像识别,医生介绍,不愿意,都不信任,没听说过,准确,完全不信任,被医生替代,是,愿意,比较担心,接受,不需要监管,不确定,取决于场景,20-50元,担心
R698,18岁以下,其他,研究生及以上,县级市,是,是,是,是,辅助诊断,医生介绍,愿意,难以判断,没听说过,快捷,非常信任,错诊漏诊,是,愿意,不担心,不接受,政府,是,接受,0-20元,不担心
R699,18岁以下,其他,小学及以下,农村,否,是,是,是,医疗影像识别,新闻报道,愿意,AI系统,没听说过,快捷,完全不信任,错诊漏诊,否,不愿意,比较担心,不接受,不需要监管,是,接受,50元以上,担心
R700,31-45岁,女,高中/中专,县级市,否,是,是,是,辅助诊断,医生介绍,愿意,AI系统,使用过,不满意,较不信任,错诊漏诊,是,不愿意,不担心,不确定,政府,是,取决于场景,不愿意支付,不担心
R701,18-30岁,男,本科,县级市,是,否,是,否,医疗影像识别,朋友推荐,愿意,AI系统,使用过,准确,一般,错诊漏诊,是,愿意,不担心,不确定,第三方独立机构,否,不接受,20-50元,不担心
R702,60岁以上,其他,本科,县级市,否,是,是,是,不清楚,不了解,视情况而定,都不信任,使用过,方便,完全不信任,无法理解,否,愿意,不担心,接受,政府,不确定,取决于场景,不愿意支付,不担心
R703,18岁以下,男,初中,县级市,是,否,是,是,药物推荐,医生介绍,愿意,AI系统,使用过,方便,一般,其他,无所谓,视情况而定,稍微担心,接受,第三方独立机构,是,接受,0-20元,担心
R704,60岁以上,男,研究生及以上,县级市,否,否,是,是,医疗影像识别,互联网搜索,视情况而定,AI系统,没听说过,准确,较信任,数据泄露,是,不愿意,稍微担心,接受,医院,不确定,取决于场景,不愿意支付,不担心
R705,18岁以下,男,研究生及以上,农村,是,否,是,是,辅助诊断,新闻报道,愿意,难以判断,听说过但没用过,准确,较信任,错诊漏诊,是,愿意,不担心,接受,政府,不确定,接受,不愿意支付,担心
R706,18-30岁,其他,小学及以下,农村,是,是,是,是,辅助诊断,医生介绍,愿意,医生,没听说过,准确,非常信任,被医生替代,否,不愿意,稍微担心,不确定,政府,是,接受,不愿意支付,不担心
R707,46-60岁,其他,本科,农村,否,否,是,是,医疗影像识别,不了解,愿意,都不信任,听说过但没用过,准确,一般,其他,否,不愿意,比较担心,不确定,不需要监管,是,接受,0-20元,担心
R708,46-60岁,其他,本科,农村,是,是,是,是,药物推荐,朋友推荐,愿意,AI系统,没听说过,方便,完全不信任,错诊漏诊,是,视情况而定,非常担心,不接受,政府,不确定,取决于场景,不愿意支付,不担心
R709,18岁以下,其他,小学及以下,城市,否,否,是,是,医疗影像识别,医生介绍,愿意,AI系统,没听说过,方便,完全不信任,其他,无所谓,愿意,不担心,不接受,医院,否,接受,0-20元,不了解
R710,18岁以下,男,初中,农村,否,否,是,是,辅助诊断,医生介绍,视情况而定,医生,听说过但没用过,不满意,完全不信任,错诊漏诊,是,愿意,比较担心,不确定,政府,是,接受,不愿意支付,不了解
R711,18-30岁,其他,本科,农村,否,是,是,是,医疗影像识别,医生介绍,愿意,都不信任,没听说过,不满意,较不信任,其他,无所谓,愿意,稍微担心,接受,政府,否,不接受,20-50元,担心
R712,31-45岁,其他,高中/中专,农村,是,否,是,是,不清楚,医生介绍,视情况而定,都不信任,听说过但没用过,快捷,一般,其他,是,愿意,比较担心,不确定,政府,是,接受,不愿意支付,不了解
R713,18-30岁,女,小学及以下,县级市,否,否,是,是,不清楚,医生介绍,不愿意,难以判断,没听说过,准确,非常信任,错诊漏诊,无所谓,愿意,比较担心,不确定,政府,是,接受,50元以上,不担心
R714,60岁以上,女,小学及以下,县级市,否,否,是,是,医疗影像识别,新闻报道,不愿意,AI系统,没听说过,准确,非常信任,其他,否,愿意,不担心,接受,第三方独立机构,否,取决于场景,0-20元,不了解
R715,31-45岁,男,研究生及以上,城市,否,是,是,是,医疗影像识别,新闻报道,不愿意,难以判断,使用过,方便,较不信任,错诊漏诊,是,愿意,不担心,不确定,第三方独立机构,否,不接受,50元以上,担心
R716,46-60岁,男,小学及以下,县级市,是,是,是,是,药物推荐,医生介绍,不愿意,难以判断,听说过但没用过,准确,较不信任,错诊漏诊,否,不愿意,不担心,不确定,政府,是,取决于场景,0-20元,不担心
R717,18-30岁,女,高中/中专,县级市,否,是,是,是,医疗影像识别,医生介绍,愿意,AI系统,没听说过,未使用,较信任,错诊漏诊,否,愿意,不担心,不确定,政府,否,取决于场景,不愿意支付,不担心
R718,31-45岁,女,小学及以下,县级市,否,否,是,是,医疗影像识别,医生介绍,视情况而定,AI系统,使用过,不满意,完全不信任,数据泄露,是,不愿意,不担心,不接受,政府,是,接受,不愿意支付,不担心
R719,18-30岁,男,本科,县级市,是,是,是,是,辅助诊断,医生介绍,愿意,AI系统,没听说过,不满意,完全不信任,错诊漏诊,是,愿意,不担心,接受,第三方独立机构,是,不接受,20-50元,担心
R720,18-30岁,女,本科,农村,是,否,是,是,药物推荐,互联网搜索,不愿意,都不信任,听说过但没用过,快捷,较信任,数据泄露,是,视情况而定,不担心,接受,医院,否,接受,不愿意支付,担心
R721,46-60岁,女,初中,农村,是,是,是,否,医疗影像识别,医生介绍,愿意,AI系统,使用过,准确,较不信任,被医生替代,是,愿意,不担心,接受,医院,不确定,接受,不愿意支付,担心
R722,60岁以上,其他,初中,城市,否,否,是,是,辅助诊断,互联网搜索,愿意,都不信任,没听说过,不满意,非常信任,其他,是,愿意,非常担心,接受,政府,是,不接受,不愿意支付,不了解
R723,31-45岁,女,高中/中专,农村,否,是,是,是,医疗影像识别,医生介绍,愿意,都不信任,听说过但没用过,准确,一般,无法理解,无所谓,不愿意,不担心,接受,不需要监管,是,接受,0-20元,担心
R724,18岁以下,男,本科,农村,否,否,是,是,药物推荐,医生介绍,视情况而定,AI系统,使用过,准确,较不信任,错诊漏诊,是,愿意,不担心,不接受,医院,不确定,接受,不愿意支付,不了解
R725,18岁以下,其他,本科,农村,否,是,是,是,医疗影像识别,不了解,不愿意,难以判断,没听说过,快捷,完全不信任,错诊漏诊,是,视情况而定,非常担心,不确定,不需要监管,不确定,接受,不愿意支付,担心
R726,18-30岁,其他,研究生及以上,农村,是,是,是,否,不清楚,医生介绍,愿意,AI系统,听说过但没用过,未使用,完全不信任,错诊漏诊,是,愿意,非常担心,不接受,政府,是,不接受,不愿意支付,担心
R727,18岁以下,女,小学及以下,县级市,是,否,是,是,辅助诊断,新闻报道,愿意,难以判断,使用过,未使用,完全不信任,无法理解,是,愿意,不担心,接受,政府,否,接受,不愿意支付,不担心
R728,60岁以上,其他,初中,农村,否,是,是,否,医疗影像识别,医生介绍,愿意,都不信任,使用过,快捷,较信任,被医生替代,是,愿意,比较担心,接受,第三方独立机构,是,取决于场景,不愿意支付,不了解
R729,60岁以上,男,小学及以下,县级市,是,是,是,是,医疗影像识别,医生介绍,愿意,难以判断,听说过但没用过,未使用,较信任,错诊漏诊,否,视情况而定,不担心,不接受,第三方独立机构,否,接受,不愿意支付,担心
R730,31-45岁,女,本科,城市,是,否,是,是,不清楚,新闻报道,愿意,AI系统,使用过,方便,完全不信任,被医生替代,是,视情况而定,不担心,不接受,政府,不确定,接受,不愿意支付,不担心
R731,18-30岁,其他,初中,农村,否,否,是,是,不清楚,不了解,视情况而定,难以判断,听说过但没用过,准确,完全不信任,其他,是,不愿意,不担心,接受,政府,否,取决于场景,20-50元,不了解
R732,31-45岁,女,本科,县级市,否,是,是,否,不清楚,医生介绍,视情况而定,医生,听说过但没用过,准确,一般,错诊漏诊,否,视情况而定,稍微担心,接受,政府,不确定,接受,50元以上,不了解
R733,18-30岁,其他,高中/中专,农村,否,否,是,是,医疗影像识别,不了解,不愿意,都不信任,没听说过,未使用,非常信任,数据泄露,否,愿意,比较担心,接受,第三方独立机构,不确定,接受,0-20元,担心
R734,31-45岁,其他,小学及以下,城市,否,否,是,是,不清楚,朋友推荐,不愿意,医生,没听说过,不满意,完全不信任,错诊漏诊,无所谓,不愿意,非常担心,不接受,不需要监管,是,接受,不愿意支付,担心
R735,31-45岁,男,初中,农村,是,否,是,是,医疗影像识别,不了解,愿意,医生,听说过但没用过,准确,完全不信任,错诊漏诊,是,愿意,不担心,不确定,不需要监管,是,取决于场景,50元以上,不担心
R736,60岁以上,女,研究生及以上,农村,否,是,否,是,药物推荐,互联网搜索,愿意,AI系统,没听说过,准确,非常信任,其他,是,不愿意,不担心,不接受,不需要监管,否,不接受,20-50元,不了解
R737,60岁以上,女,研究生及以上,县级市,否,否,是,是,辅助诊断,新闻报道,愿意,AI系统,听说过但没用过,准确,非常信任,数据泄露,否,不愿意,不担心,接受,政府,是,取决于场景,不愿意支付,担心
R738,31-45岁,女,研究生及以上,农村,是,否,是,否,医疗影像识别,医生介绍,不愿意,AI系统,使用过,方便,较不信任,错诊漏诊,是,不愿意,比较担心,不确定,第三方独立机构,是,取决于场景,不愿意支付,担心
R739,46-60岁,其他,本科,农村,是,是,是,是,医疗影像识别,新闻报道,视情况而定,AI系统,使用过,未使用,完全不信任,数据泄露,是,视情况而定,不担心,接受,政府,否,接受,0-20元,不了解
R740,46-60岁,其他,研究生及以上,县级市,否,否,是,是,辅助诊断,互联网搜索,不愿意,医生,使用过,准确,完全不信任,错诊漏诊,是,愿意,稍微担心,不接受,医院,不确定,接受,不愿意支付,不担心
R741,18岁以下,男,本科,县级市,否,是,是,是,医疗影像识别,互联网搜索,不愿意,AI系统,使用过,准确,完全不信任,其他,否,愿意,不担心,接受,政府,是,取决于场景,0-20元,担心
R742,31-45岁,其他,小学及以下,县级市,否,否,是,否,辅助诊断,医生介绍,愿意,AI系统,使用过,未使用,较信任,无法理解,无所谓,愿意,稍微担心,不接受,不需要监管,是,取决于场景,不愿意支付,担心
R743,31-45岁,男,小学及以下,城市,是,是,是,是,医疗影像识别,不了解,愿意,AI系统,听说过但没用过,未使用,较不信任,错诊漏诊,无所谓,愿意,非常担心,接受,政府,是,取决于场景,不愿意支付,不了解
R744,60岁以上,其他,研究生及以上,城市,是,否,是,是,医疗影像识别,医生介绍,视情况而定,难以判断,没听说过,准确,一般,被医生替代,是,愿意,不担心,不接受,政府,是,接受,50元以上,担心
R745,18-30岁,女,本科,城市,否,是,是,否,医疗影像识别,医生介绍,愿意,难以判断,听说过但没用过,准确,完全不信任,被医生替代,是,愿意,非常担心,不确定,政府,否,取决于场景,不愿意支付,不担心
R746,31-45岁,男,小学及以下,县级市,是,否,是,是,辅助诊断,朋友推荐,愿意,医生,使用过,快捷,完全不信任,错诊漏诊,是,视情况而定,稍微担心,不确定,第三方独立机构,不确定,接受,不愿意支付,不了解
R747,18岁以下,其他,小学及以下,县级市,是,否,是,是,医疗影像识别,互联网搜索,愿意,难以判断,使用过,快捷,完全不信任,被医生替代,是,愿意,不担心,接受,政府,不确定,取决于场景,不愿意支付,不担心
R748,18岁以下,其他,小学及以下,县级市,否,是,是,是,辅助诊断,医生介绍,视情况而定,AI系统,听说过但没用过,准确,完全不信任,被医生替代,是,愿意,比较担心,不确定,第三方独立机构,是,接受,不愿意支付,担心
R749,18-30岁,其他,小学及以下,县级市,是,是,是,是,辅助诊断,互联网搜索,视情况而定,AI系统,使用过,方便,非常信任,错诊漏诊,是,愿意,不担心,接受,第三方独立机构,不确定,不接受,不愿意支付,不了解
R750,60岁以上,其他,初中,城市,是,否,否,是,辅助诊断,医生介绍,视情况而定,AI系统,使用过,准确,较不信任,错诊漏诊,是,不愿意,稍微担心,接受,政府,否,接受,不愿意支付,担心
R751,18岁以下,男,研究生及以上,城市,否,是,是,是,医疗影像识别,互联网搜索,视情况而定,难以判断,听说过但没用过,准确,较不信任,错诊漏诊,是,愿意,稍微担心,接受,医院,是,取决于场景,50元以上,不了解
R752,18-30岁,男,研究生及以上,县级市,是,是,是,是,医疗影像识别,互联网搜索,视情况而定,AI系统,没听说过,不满意,较信任,错诊漏诊,无所谓,愿意,比较担心,不接受,政府,是,取决于场景,20-50元,不了解
R753,60岁以上,女,研究生及以上,县级市,是,是,是,是,药物推荐,不了解,愿意,都不信任,听说过但没用过,准确,完全不信任,错诊漏诊,无所谓,不愿意,不担心,接受,第三方独立机构,是,接受,不愿意支付,担心
R754,18岁以下,男,初中,县级市,否,是,是,是,医疗影像识别,医生介绍,视情况而定,都不信任,使用过,方便,完全不信任,错诊漏诊,无所谓,愿意,不担心,不确定,政府,是,接受,不愿意支付,不担心
R755,31-45岁,女,小学及以下,城市,是,是,是,否,药物推荐,互联网搜索,愿意,医生,没听说过,准确,较信任,其他,是,不愿意,不担心,接受,第三方独立机构,是,不接受,50元以上,不担心
R756,18-30岁,女,本科,城市,否,是,是,是,辅助诊断,互联网搜索,视情况而定,都不信任,没听说过,准确,完全不信任,被医生替代,无所谓,愿意,不担心,接受,政府,否,取决于场景,不愿意支付,担心
R757,60岁以上,其他,研究生及以上,县级市,否,是,是,是,医疗影像识别,医生介绍,愿意,AI系统,没听说过,准确,一般,错诊漏诊,是,愿意,非常担心,接受,政府,是,不接受,不愿意支付,担心
R758,60岁以上,女,小学及以下,城市,是,否,是,是,医疗影像识别,新闻报道,不愿意,难以判断,使用过,准确,一般,错诊漏诊,无所谓,视情况而定,非常担心,接受,政府,否,接受,不愿意支付,不担心
R759,18岁以下,其他,研究生及以上,县级市,是,否,是,否,医疗影像识别,医生介绍,愿意,AI系统,没听说过,准确,较信任,无法理解,是,愿意,不担心,接受,政府,是,接受,20-50元,担心
R760,46-60岁,女,本科,县级市,否,是,是,是,药物推荐,医生介绍,不愿意,AI系统,没听说过,准确,完全不信任,错诊漏诊,是,愿意,比较担心,不接受,政府,是,接受,不愿意支付,不担心
R761,31-45岁,女,小学及以下,城市,是,否,是,是,不清楚,医生介绍,愿意,都不信任,听说过但没用过,快捷,完全不信任,数据泄露,是,愿意,不担心,接受,政府,是,不接受,不愿意支付,不了解
R762,31-45岁,女,初中,农村,否,是,是,是,医疗影像识别,不了解,不愿意,AI系统,听说过但没用过,准确,完全不信任,被医生替代,否,视情况而定,不担心,接受,不需要监管,是,不接受,0-20元,担心
R763,18-30岁,其他,初中,县级市,是,否,是,是,医疗影像识别,互联网搜索,愿意,医生,听说过但没用过,快捷,完全不信任,其他,否,不愿意,稍微担心,接受,第三方独立机构,否,接受,50元以上,不了解
R764,18-30岁,其他,小学及以下,农村,是,否,是,是,辅助诊断,医生介绍,视情况而定,难以判断,没听说过,准确,完全不信任,被医生替代,是,愿意,不担心,不接受,不需要监管,否,接受,不愿意支付,不了解
R765,31-45岁,其他,高中/中专,农村,否,是,是,是,医疗影像识别,医生介绍,愿意,医生,使用过,快捷,完全不信任,数据泄露,是,视情况而定,不担心,接受,第三方独立机构,是,取决于场景,0-20元,不了解
R766,46-60岁,其他,研究生及以上,城市,是,是,是,是,医疗影像识别,医生介绍,愿意,难以判断,使用过,准确,完全不信任,数据泄露,无所谓,视情况而定,不担心,不确定,医院,不确定,不接受,不愿意支付,不担心
R767,46-60岁,女,研究生及以上,城市,否,否,是,是,辅助诊断,医生介绍,视情况而定,医生,没听说过,未使用,较不信任,错诊漏诊,无所谓,不愿意,比较担心,不接受,政府,是,不接受,不愿意支付,担心
R768,31-45岁,女,研究生及以上,农村,否,否,是,是,医疗影像识别,医生介绍,视情况而定,AI系统,使用过,准确,完全不信任,其他,无所谓,不愿意,不担心,不确定,政府,是,取决于场景,20-50元,不担心
R769,18岁以下,女,研究生及以上,农村,否,否,否,否,不清楚,互联网搜索,不愿意,AI系统,没听说过,准确,一般,错诊漏诊,否,愿意,稍微担心,接受,政府,不确定,不接受,50元以上,不担心
R770,60岁以上,其他,初中,城市,否,否,是,是,不清楚,医生介绍,不愿意,难以判断,听说过但没用过,准确,非常信任,其他,否,愿意,不担心,不接受,政府,不确定,接受,不愿意支付,不担心
R771,46-60岁,其他,研究生及以上,城市,否,否,是,是,医疗影像识别,医生介绍,愿意,都不信任,听说过但没用过,方便,较信任,其他,是,愿意,比较担心,接受,第三方独立机构,不确定,接受,不愿意支付,担心
R772,46-60岁,男,研究生及以上,城市,是,否,否,是,不清楚,互联网搜索,不愿意,难以判断,没听说过,准确,完全不信任,错诊漏诊,是,愿意,不担心,接受,第三方独立机构,是,不接受,不愿意支付,不担心
R773,18岁以下,男,研究生及以上,县级市,是,是,是,是,药物推荐,朋友推荐,视情况而定,医生,使用过,快捷,完全不信任,错诊漏诊,是,愿意,比较担心,接受,不需要监管,是,接受,50元以上,不了解
R774,18-30岁,女,高中/中专,农村,是,否,是,是,药物推荐,医生介绍,愿意,都不信任,使用过,准确,较信任,错诊漏诊,是,视情况而定,不担心,接受,医院,是,取决于场景,20-50元,不担心
R775,18岁以下,男,高中/中专,城市,否,是,是,否,医疗影像识别,医生介绍,不愿意,AI系统,没听说过,准确,完全不信任,错诊漏诊,是,愿意,比较担心,不接受,政府,不确定,不接受,20-50元,担心
R776,18-30岁,女,研究生及以上,县级市,否,是,是,是,辅助诊断,新闻报道,愿意,医生,听说过但没用过,不满意,完全不信任,无法理解,否,愿意,比较担心,接受,政府,是,接受,不愿意支付,不担心
R777,18岁以下,男,高中/中专,县级市,是,否,是,是,医疗影像识别,医生介绍,不愿意,医生,使用过,快捷,完全不信任,无法理解,否,视情况而定,非常担心,接受,政府,否,取决于场景,不愿意支付,不了解
R778,31-45岁,男,高中/中专,农村,是,是,是,否,不清楚,医生介绍,不愿意,AI系统,使用过,准确,完全不信任,错诊漏诊,无所谓,愿意,不担心,不确定,政府,是,接受,不愿意支付,担心
R779,31-45岁,女,本科,城市,是,否,是,是,不清楚,医生介绍,愿意,AI系统,没听说过,准确,完全不信任,错诊漏诊,是,愿意,不担心,接受,政府,是,不接受,不愿意支付,担心
R780,18-30岁,女,研究生及以上,县级市,是,是,否,是,不清楚,新闻报道,视情况而定,AI系统,没听说过,准确,完全不信任,其他,是,愿意,不担心,接受,政府,否,接受,不愿意支付,担心
R781,60岁以上,其他,高中/中专,城市,否,是,是,是,医疗影像识别,医生介绍,愿意,难以判断,使用过,未使用,较不信任,错诊漏诊,否,愿意,稍微担心,接受,不需要监管,是,取决于场景,0-20元,不担心
R782,18-30岁,其他,初中,城市,否,否,是,否,药物推荐,医生介绍,愿意,都不信任,听说过但没用过,准确,完全不信任,其他,否,不愿意,不担心,接受,政府,是,不接受,不愿意支付,不担心
R783,46-60岁,其他,小学及以下,县级市,是,否,是,是,药物推荐,不了解,愿意,AI系统,使用过,未使用,完全不信任,被医生替代,否,愿意,稍微担心,接受,政府,是,接受,0-20元,不担心
R784,18-30岁,其他,本科,县级市,是,是,是,是,药物推荐,互联网搜索,视情况而定,AI系统,使用过,方便,完全不信任,其他,无所谓,愿意,比较担心,接受,政府,不确定,接受,不愿意支付,担心
R785,18岁以下,男,初中,县级市,是,是,是,是,医疗影像识别,医生介绍,不愿意,都不信任,没听说过,快捷,完全不信任,其他,是,愿意,比较担心,不接受,政府,否,接受,0-20元,担心
R786,18-30岁,女,小学及以下,县级市,是,是,是,是,药物推荐,互联网搜索,愿意,都不信任,使用过,准确,一般,错诊漏诊,是,愿意,不担心,不确定,政府,是,取决于场景,不愿意支付,担心
R787,18-30岁,男,高中/中专,县级市,否,是,是,是,不清楚,医生介绍,愿意,难以判断,使用过,准确,完全不信任,其他,否,视情况而定,不担心,不接受,医院,否,接受,0-20元,不担心
R788,31-45岁,其他,高中/中专,县级市,是,否,是,是,医疗影像识别,医生介绍,视情况而定,医生,没听说过,准确,较不信任,错诊漏诊,无所谓,愿意,不担心,接受,政府,不确定,不接受,不愿意支付,担心
R789,60岁以上,女,本科,城市,否,是,是,是,医疗影像识别,不了解,视情况而定,AI系统,使用过,准确,完全不信任,错诊漏诊,是,不愿意,稍微担心,接受,医院,是,接受,不愿意支付,不了解
R790,31-45岁,男,初中,县级市,是,否,否,否,不清楚,医生介绍,愿意,AI系统,没听说过,准确,较信任,错诊漏诊,无所谓,愿意,非常担心,不确定,第三方独立机构,是,接受,50元以上,不了解
R791,46-60岁,其他,初中,城市,是,是,是,是,医疗影像识别,医生介绍,视情况而定,AI系统,使用过,方便,一般,错诊漏诊,否,愿意,非常担心,接受,政府,是,接受,50元以上,不担心
R792,18岁以下,其他,小学及以下,城市,否,是,是,是,医疗影像识别,新闻报道,愿意,AI系统,听说过但没用过,准确,较不信任,错诊漏诊,是,视情况而定,不担心,不确定,政府,否,接受,20-50元,不担心
R793,18岁以下,男,高中/中专,农村,是,否,是,是,医疗影像识别,互联网搜索,不愿意,难以判断,听说过但没用过,快捷,完全不信任,无法理解,是,愿意,非常担心,不接受,不需要监管,否,不接受,20-50元,担心
R794,60岁以上,女,高中/中专,城市,是,是,是,是,医疗影像识别,不了解,视情况而定,AI系统,没听说过,快捷,较不信任,错诊漏诊,否,不愿意,非常担心,不确定,政府,不确定,接受,不愿意支付,担心
R795,46-60岁,女,本科,县级市,是,否,是,否,辅助诊断,医生介绍,愿意,AI系统,听说过但没用过,方便,非常信任,错诊漏诊,无所谓,视情况而定,不担心,不接受,第三方独立机构,否,不接受,0-20元,担心
R796,18-30岁,其他,小学及以下,农村,否,否,是,是,药物推荐,医生介绍,愿意,难以判断,听说过但没用过,准确,非常信任,错诊漏诊,否,视情况而定,稍微担心,不确定,政府,不确定,取决于场景,不愿意支付,不了解
R797,31-45岁,其他,高中/中专,城市,否,否,是,是,医疗影像识别,互联网搜索,愿意,医生,听说过但没用过,不满意,较信任,错诊漏诊,是,视情况而定,不担心,不接受,政府,不确定,接受,不愿意支付,不了解
R798,18-30岁,男,高中/中专,城市,是,是,是,是,医疗影像识别,医生介绍,愿意,医生,没听说过,快捷,一般,错诊漏诊,否,愿意,不担心,接受,不需要监管,是,不接受,不愿意支付,不了解
R799,18-30岁,女,初中,农村,否,是,是,是,不清楚,医生介绍,愿意,难以判断,听说过但没用过,快捷,完全不信任,错诊漏诊,否,愿意,非常担心,接受,第三方独立机构,是,取决于场景,20-50元,不担心
R800,18-30岁,男,研究生及以上,城市,否,否,是,是,不清楚,医生介绍,视情况而定,医生,使用过,准确,完全不信任,其他,无所谓,愿意,比较担心,接受,第三方独立机构,不确定,接受,不愿意支付,担心
R801,18-30岁,女,本科,农村,否,是,是,否,辅助诊断,医生介绍,不愿意,都不信任,听说过但没用过,准确,一般,错诊漏诊,无所谓,愿意,不担心,接受,第三方独立机构,是,不接受,不愿意支付,担心
R802,46-60岁,其他,高中/中专,农村,否,否,是,是,辅助诊断,医生介绍,不愿意,AI系统,使用过,准确,非常信任,被医生替代,是,不愿意,稍微担心,接受,政府,是,接受,不愿意支付,担心
R803,31-45岁,男,初中,农村,是,否,是,是,医疗影像识别,朋友推荐,愿意,难以判断,听说过但没用过,未使用,完全不信任,被医生替代,无所谓,不愿意,不担心,接受,第三方独立机构,否,接受,不愿意支付,不了解
